                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2304,                 4.8441,                  1.261,                0.25734,                0.33333,                0.15886,                0.10082,                 1.3893,                 3.9218,                 1.1346,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.4486,                 5.6695,                 1.1602,                0.54047,                0.41667,                0.39681,                0.26594,                 1.3925,                 3.8334,                 1.1827,              9.604e-05,              9.604e-05,              9.604e-05
                      3,                 1.6545,                 4.7084,                 1.2233,                0.97038,                0.41667,                0.62645,                0.35632,                 1.3715,                 5.9737,                 1.1644,             0.00014733,             0.00014733,             0.00014733
                      4,                 1.6323,                 4.0508,                 1.2818,                 0.9473,                    0.5,                0.61017,                0.24322,                 1.1773,                 9.0812,                 1.1082,             0.00019386,             0.00019386,             0.00019386
                      5,                 1.5143,                 3.6157,                 1.4646,                0.82362,                0.83333,                 0.8897,                0.55148,                 1.1455,                 6.3333,                 1.2043,             0.00023565,             0.00023565,             0.00023565
                      6,                  1.654,                 2.9323,                 1.2422,                0.90593,                0.80436,                 0.8684,                0.46484,                 1.3218,                  4.658,                 1.3004,             0.00027268,             0.00027268,             0.00027268
                      7,                  1.457,                 1.8992,                 1.2498,                0.84393,                0.90219,                0.91251,                0.42177,                 1.5004,                 3.5268,                 1.3673,             0.00030496,             0.00030496,             0.00030496
                      8,                 1.3428,                 1.7535,                 1.2101,                0.92262,                0.99401,                0.96962,                0.52903,                 1.4337,                 2.7111,                 1.3117,             0.00033249,             0.00033249,             0.00033249
                      9,                 1.3708,                 1.6647,                 1.1543,                0.89019,                0.83333,                0.89883,                0.51621,                  1.319,                 2.0143,                 1.2332,             0.00035526,             0.00035526,             0.00035526
                     10,                 1.4161,                 2.1144,                 1.0628,                0.83343,                0.91667,                0.86861,                0.51446,                 1.3507,                 1.7671,                 1.2574,             0.00037329,             0.00037329,             0.00037329
                     11,                 1.4398,                 1.1876,                 1.1393,                0.94994,                0.83333,                0.90317,                0.54693,                 1.4516,                 1.3103,                 1.3348,             0.00038656,             0.00038656,             0.00038656
                     12,                 1.4912,                 1.2916,                 1.4006,                 0.8372,                0.91667,                0.90489,                0.56989,                 1.4085,                 1.2267,                 1.3855,             0.00039508,             0.00039508,             0.00039508
                     13,                 1.3227,                 1.1717,                 1.1859,                0.98034,                0.91667,                0.91544,                0.53625,                 1.3433,                 1.1642,                 1.3277,             0.00039885,             0.00039885,             0.00039885
                     14,                 1.5225,                 1.0413,                 1.1832,                      1,                0.74675,                0.86045,                0.48853,                 1.4261,                 1.3707,                 1.2903,             0.00039786,             0.00039786,             0.00039786
                     15,                 1.4174,                 1.2734,                 1.2309,                0.99029,                0.66667,                0.70483,                0.36037,                 1.5494,                 1.6717,                 1.3383,             0.00039213,             0.00039213,             0.00039213
                     16,                 1.4592,                 1.5857,                  1.309,                      1,                0.65971,                0.67727,                0.34475,                 1.6316,                 1.7919,                 1.3671,             0.00038164,             0.00038164,             0.00038164
                     17,                  1.632,                 1.5043,                 1.2366,                0.98098,                    0.5,                0.58182,                0.28311,                 1.5246,                 2.0885,                 1.3355,              0.0003664,              0.0003664,              0.0003664
                     18,                 1.4976,                 1.4511,                 1.1465,                      1,                0.72458,                0.75195,                 0.4116,                 1.4505,                 1.7503,                 1.2677,             0.00034641,             0.00034641,             0.00034641
                     19,                 1.3547,                0.98022,                 1.0882,                      1,                0.73869,                0.76124,                0.44582,                 1.3563,                 1.4635,                 1.2436,             0.00032166,             0.00032166,             0.00032166
                     20,                 1.3375,                 1.1085,                 1.0748,                0.61214,                0.65824,                0.45381,                0.25863,                 1.2996,                 1.5518,                 1.1902,             0.00029217,             0.00029217,             0.00029217
                     21,                 1.2746,                0.91878,                 1.0974,                0.98648,                0.66667,                0.81774,                0.47697,                 1.3135,                 1.2006,                 1.2178,             0.00025792,             0.00025792,             0.00025792
                     22,                  1.194,                0.95919,                 1.1369,                0.98888,                0.83333,                0.88884,                0.55682,                 1.2883,                 1.0684,                 1.2342,             0.00021892,             0.00021892,             0.00021892
                     23,                 1.1356,                0.85684,                 1.0579,                      1,                0.91129,                0.92414,                0.55887,                 1.3482,                0.99578,                 1.3075,             0.00017517,             0.00017517,             0.00017517
                     24,                 1.2956,                 1.0319,                 1.1727,                      1,                0.91386,                0.92186,                0.55995,                 1.4313,                 1.0203,                 1.3952,             0.00012666,             0.00012666,             0.00012666
                     25,                 1.3086,                0.81364,                 1.0667,                      1,                0.91372,                0.92268,                0.54723,                  1.414,                0.94667,                 1.3615,             7.3408e-05,             7.3408e-05,             7.3408e-05
